Organism	Protein	COG	Cat	Annotation
1715	2497	COG0001	H	Glutamate-1-semialdehyde aminotransferase
1867	1963	COG0002	E	N-acetyl-gamma-glutamylphosphate reductase
649	1236	COG0003	P	Anion-transporting ATPase, ArsA/GET3 family
1728	2791	COG0004	P	Ammonia channel protein AmtB
1624	2051	COG0005	F	Purine nucleoside phosphorylase
2212	5182	COG0006	E	Xaa-Pro aminopeptidase
1634	2474	COG0007	H	Uroporphyrinogen-III methylase (siroheme synthase)
2285	4603	COG0008	J	Glutamyl- or glutaminyl-tRNA synthetase
2243	3254	COG0009	J	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC
1505	3089	COG0010	E	Arginase/agmatinase family enzyme
726	826	COG0011	H	Thiamin-binding stress-response protein YqgV, UPF0045 family
2264	2361	COG0012	J	Ribosome-binding ATPase YchF, GTP1/OBG family
2268	2543	COG0013	J	Alanyl-tRNA synthetase
1721	1828	COG0014	E	Gamma-glutamyl phosphate reductase
2138	2588	COG0015	F	Adenylosuccinate lyase
2276	2314	COG0016	J	Phenylalanyl-tRNA synthetase alpha subunit
1294	1504	COG0017	J	Aspartyl/asparaginyl-tRNA synthetase
2269	2435	COG0018	J	Arginyl-tRNA synthetase
2035	3495	COG0019	E	Diaminopimelate decarboxylase
2224	2665	COG0020	I	Undecaprenyl pyrophosphate synthase
782	828	COG0023	J	Translation initiation factor 1 (eIF-1/SUI1)
2274	3227	COG0024	J	Methionine aminopeptidase
1335	2417	COG0025	P	NhaP-type Na+/H+ or K+/H+ antiporter
1565	1600	COG0026	F	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)
502	508	COG0027	F	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)
1982	5801	COG0028	E H	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme
1540	1705	COG0029	H	Aspartate oxidase
2252	2592	COG0030	J	rRNA adenine N6-methylase, includes 16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM and 23S rRNA A2058 N6-methylase ErmO/TlrD (may also have DNA glycosylase/AP lyase activity)
2072	4586	COG0031	E	Cysteine synthase
1671	1733	COG0035	F	Uracil phosphoribosyltransferase
1860	2408	COG0039	C	Malate/lactate dehydrogenase
1899	1933	COG0040	E	ATP phosphoribosyltransferase
2066	2107	COG0041	F	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase
2086	3312	COG0042	J	tRNA-dihydrouridine synthase
1962	3544	COG0044	F	Dihydroorotase or related cyclic amidohydrolase
1750	1948	COG0045	C	Succinyl-CoA synthetase, beta subunit
2043	2059	COG0046	F	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain
2049	2054	COG0047	F	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain
2282	2148	COG0048	J	Ribosomal protein S12
2279	2268	COG0049	J	Ribosomal protein S7
2285	2031	COG0051	J	Ribosomal protein S10
2248	2247	COG0052	J	Ribosomal protein S2
1859	2801	COG0053	P	Divalent metal cation (Fe/Co/Zn/Cd) efflux pump
1934	2062	COG0054	H	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)
2241	3635	COG0057	G	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase
1880	1948	COG0059	E H	Ketol-acid reductoisomerase
2258	2313	COG0060	J	Isoleucyl-tRNA synthetase
2178	2516	COG0061	H	NAD kinase
1825	1856	COG0062	F	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase (NAXE) domain
1999	2107	COG0063	F	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase (NAXD) domain
1885	1930	COG0064	J	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit
1890	2368	COG0065	E	Homoaconitase/3-isopropylmalate dehydratase large subunit
1897	2357	COG0066	E	3-isopropylmalate dehydratase small subunit
1679	1921	COG0067	E	Glutamate synthase domain 1
1796	2827	COG0069	E	Glutamate synthase domain 2
1682	1948	COG0070	E	Glutamate synthase domain 3
1880	4378	COG0071	O	Small heat shock protein IbpA, HSP20 family
2254	2264	COG0072	J	Phenylalanyl-tRNA synthetase beta subunit
2258	4229	COG0073	J	tRNA-binding EMAP/Myf domain
1797	2098	COG0074	C	Succinyl-CoA synthetase, alpha subunit
1305	1976	COG0075	E F	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG
1944	2041	COG0077	E	Prephenate dehydratase (decarboxylase)
2051	2401	COG0078	E	Ornithine carbamoyltransferase
2028	4212	COG0079	E	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase
2279	2281	COG0080	J	Ribosomal protein L11
2267	2265	COG0081	J	Ribosomal protein L1
2070	2095	COG0082	E	Chorismate synthase
1099	1111	COG0083	E	Homoserine kinase
2257	2415	COG0085	K	DNA-directed RNA polymerase, beta subunit/140 kD subunit
2251	2527	COG0086	K	DNA-directed RNA polymerase, beta' subunit/160 kD subunit
2270	2265	COG0087	J	Ribosomal protein L3
2280	2270	COG0088	J	Ribosomal protein L4
2273	2259	COG0089	J	Ribosomal protein L23
2277	2274	COG0090	J	Ribosomal protein L2
2257	2230	COG0091	J	Ribosomal protein L22
2258	2236	COG0092	J	Ribosomal protein S3
2245	2186	COG0093	J	Ribosomal protein L14
2284	2276	COG0094	J	Ribosomal protein L5
2285	2276	COG0096	J	Ribosomal protein S8
2283	2279	COG0097	J	Ribosomal protein L6P/L9E
2262	2248	COG0098	J	Ribosomal protein S5
2271	2282	COG0099	J	Ribosomal protein S13
2247	2194	COG0100	J	Ribosomal protein S11
2162	2379	COG0101	J	tRNA U38,U39,U40 pseudouridine synthase TruA
2271	2262	COG0102	J	Ribosomal protein L13
2275	2262	COG0103	J	Ribosomal protein S9
2118	2217	COG0104	F	Adenylosuccinate synthase
1998	2042	COG0105	F	Nucleoside diphosphate kinase
1906	1954	COG0106	E	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase
1921	2097	COG0107	E	Imidazole glycerol phosphate synthase subunit HisF
1915	2165	COG0108	H	3,4-dihydroxy-2-butanone 4-phosphate synthase
1464	1584	COG0109	H I	Polyprenyltransferase (heme O synthase)
1672	4275	COG0110	R	O-acetyltransferase, isoleucine patch superfamily, LacA/YvoF/WbbJ family
2036	5766	COG0111	H	Phosphoglycerate dehydrogenase or related dehydrogenase
2204	2581	COG0112	E	Glycine/serine hydroxymethyltransferase
1869	1915	COG0113	H	Delta-aminolevulinic acid dehydratase, porphobilinogen synthase
1497	1559	COG0114	C	Fumarate hydratase class II
2080	4994	COG0115	E H	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase
1903	2037	COG0118	E	Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH
1983	5327	COG0119	E	Isopropylmalate/homocitrate/citramalate synthases
1177	1222	COG0120	G	Ribose 5-phosphate isomerase
1330	1838	COG0122	L	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase
1380	2224	COG0123	Q	Acetoin utilization deacetylase AcuC or a related deacetylase
2264	2449	COG0124	J	Histidyl-tRNA synthetase
2042	2401	COG0125	F	Thymidylate kinase
2232	2301	COG0126	G	3-phosphoglycerate kinase
2181	2291	COG0127	F	Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family
2084	2173	COG0128	E	5-enolpyruvylshikimate-3-phosphate synthase
1889	3509	COG0129	G E	Dihydroxyacid dehydratase/phosphogluconate dehydratase
2212	2238	COG0130	J	tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA
1897	1904	COG0131	E	Imidazoleglycerol phosphate dehydratase HisB
1895	2143	COG0133	E	Tryptophan synthase beta chain
1881	1960	COG0134	E	Indole-3-glycerol phosphate synthase
1708	1843	COG0135	E	Phosphoribosylanthranilate isomerase
2124	2392	COG0136	E	Aspartate-semialdehyde dehydrogenase
1934	1975	COG0137	E	Argininosuccinate synthase
2025	2177	COG0138	F	AICAR transformylase/IMP cyclohydrolase PurH
1898	1954	COG0139	E	Phosphoribosyl-AMP cyclohydrolase
1744	1780	COG0140	E	Phosphoribosyl-ATP pyrophosphohydrolase
1890	2158	COG0141	E	Histidinol dehydrogenase
2196	4706	COG0142	H	Geranylgeranyl pyrophosphate synthase
2231	2389	COG0143	J	Methionyl-tRNA synthetase
1989	3035	COG0144	J	RNA cytosine C5-methylase, RsmB/RsmF/Trm4/Trm9 family, includes 16S rRNA C967/C1407 and tRNA-C34/C48 C5-methylases
952	1919	COG0145	E Q	N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit
763	1412	COG0146	E Q	N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit
1952	3587	COG0147	E H	Anthranilate/para-aminobenzoate synthases component I
2218	2411	COG0148	G	Enolase
2243	2490	COG0149	G	Triosephosphate isomerase
2058	2067	COG0150	F	Phosphoribosylaminoimidazole (AIR) synthetase
2053	2142	COG0151	F	Phosphoribosylamine-glycine ligase
2070	2177	COG0152	F	Phosphoribosylaminoimidazole-succinocarboxamide synthase
2039	5764	COG0154	J	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase
1329	1885	COG0155	P	Sulfite reductase, beta subunit (hemoprotein)
1716	1876	COG0157	H	Nicotinate-nucleotide pyrophosphorylase
889	973	COG0158	G	Fructose-1,6-bisphosphatase
1893	1962	COG0159	E	Tryptophan synthase alpha chain
2272	2360	COG0162	J	Tyrosyl-tRNA synthetase
2155	2181	COG0164	L	Ribonuclease HII
1946	2131	COG0165	E	Argininosuccinate lyase
2134	2326	COG0166	G	Glucose-6-phosphate isomerase
2150	2936	COG0167	F	Dihydroorotate dehydrogenase
1651	2602	COG0168	P	Trk-type K+ transport system, membrane component
2090	2688	COG0169	E	Shikimate 5-dehydrogenase
389	466	COG0170	M O	Dolichol kinase
2154	2424	COG0171	H	NH3-dependent NAD+ synthetase
2280	2389	COG0172	J	Seryl-tRNA synthetase
1950	3906	COG0174	E	Glutamine synthetase
1567	3112	COG0175	E H	Phosphoadenylyl sulfate (PAPS) reductase/FAD synthetase or related enzyme
2159	2597	COG0177	L	Endonuclease III
2142	3266	COG0178	L	Excinuclease UvrABC ATPase subunit
1726	4518	COG0179	C E	Oxaloacetate decarboxylase and tautomerase, fumarylacetoacetate (FAA) hydrolase family
2274	2482	COG0180	J	Tryptophanyl-tRNA synthetase
1881	1920	COG0181	H	Porphobilinogen deaminase
1716	8019	COG0183	I	Acetyl-CoA acetyltransferase
2275	2270	COG0184	J	Ribosomal protein S15P/S13E
2258	2206	COG0185	J	Ribosomal protein S19
2263	2252	COG0186	J	Ribosomal protein S17
2198	3735	COG0187	L	DNA gyrase/topoisomerase IV, subunit B
2195	3776	COG0188	L	DNA gyrase/topoisomerase IV, subunit A
1653	3725	COG0189	J E H Q	Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily
2156	2367	COG0190	H	5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase
1708	2543	COG0191	G	Fructose/tagatose bisphosphate aldolase
2251	2325	COG0195	K	Transcription antitermination factor NusA, contains S1 and KH domains
2272	2251	COG0197	J	Ribosomal protein L16/L10AE
2254	2252	COG0198	J	Ribosomal protein L24
2261	2402	COG0199	J	Ribosomal protein S14
2263	2262	COG0200	J	Ribosomal protein L15
2264	2306	COG0201	U	Preprotein translocase subunit SecY
2260	2378	COG0202	K	DNA-directed RNA polymerase, alpha subunit/40 kD subunit
2141	2448	COG0206	D	Cell division GTPase FtsZ
1493	1557	COG0207	F	Thymidylate synthase
2061	2861	COG0209	F	Ribonucleotide reductase alpha subunit
2170	5188	COG0210	L	Superfamily I DNA or RNA helicase
723	746	COG0214	H	Pyridoxal 5'-phosphate synthase subunit PdxS
2251	2579	COG0215	J	Cysteinyl-tRNA synthetase
1685	1720	COG0218	D	GTP-binding protein EngB required for normal cell division
1563	1693	COG0221	C	Inorganic pyrophosphatase
1919	2786	COG0225	O	Peptide methionine sulfoxide reductase MsrA
1912	3419	COG0226	P	ABC-type phosphate transport system, periplasmic component
1834	2400	COG0229	O	Peptide methionine sulfoxide reductase MsrB
2268	2526	COG0231	J	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)
2212	2274	COG0237	H	Dephospho-CoA kinase
1671	2260	COG0239	D P	Fluoride ion exporter CrcB/FEX, affects chromosome condensation
2271	2263	COG0244	J	Ribosomal protein L10
1709	5011	COG0247	C	Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF
1816	2538	COG0249	L	DNA mismatch repair ATPase MutS
2270	2871	COG0250	K	Transcription termination/antitermination protein NusG
2016	6321	COG0251	V	Enamine deaminase RidA/Endoribonuclease Rid7C, YjgF/YER057c/UK114 family
1377	1712	COG0252	J E	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D
1916	2016	COG0253	E	Diaminopimelate epimerase
2188	2165	COG0255	J	Ribosomal protein L29
2278	2269	COG0256	J	Ribosomal protein L18
2252	2740	COG0258	L	5'-3' exonuclease Xni/ExoIX (flap endonuclease)
1717	3878	COG0262	H	Dihydrofolate reductase
1729	1814	COG0263	E	Glutamate 5-kinase
2153	7517	COG0265	O	Periplasmic serine protease DegP/DegQ, contain C-terminal PDZ domain
869	1153	COG0271	K T	DNA-binding global transcriptional regulator BolA, affects cell shape, cell division and biofilm formation
2102	2442	COG0272	L	NAD-dependent DNA ligase
1431	1693	COG0274	F	Deoxyribose-phosphate aldolase
1850	7431	COG0277	C	FAD/FMN-containing lactate dehydrogenase/glycolate oxidase
957	1021	COG0278	O	Glutaredoxin-related protein
1640	2818	COG0280	C	Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase)
1875	2669	COG0281	C	Malic enzyme
2131	2198	COG0284	F	Orotidine-5'-phosphate decarboxylase
2079	2246	COG0285	H	Folylpolyglutamate synthase/Dihydropteroate synthase
1625	3935	COG0286	V	Type I restriction-modification system, DNA methylase subunit
1926	2020	COG0287	E	Prephenate dehydrogenase
1640	2532	COG0288	P	Carbonic anhydrase
2018	2110	COG0289	E	4-hydroxy-tetrahydrodipicolinate reductase
1025	1029	COG0293	J	23S rRNA U2552 or 16S rRNA-U1369 or eukaryotic tRNA-C32/G34 (ribose-2'-O)-methylase RlmE/FtsJ/TRM7
1998	2473	COG0294	H	Dihydropteroate synthase
1371	1535	COG0295	F	Cytidine deaminase
1885	9259	COG0300	R	Short-chain dehydrogenase
1701	3042	COG0303	H	Molybdopterin Mo-transferase (molybdopterin biosynthesis)
1471	2016	COG0306	P	Phosphate/sulfate permease
1866	1938	COG0307	H	Riboflavin synthase alpha chain
657	844	COG0310	P	ABC-type Co2+ transport system, permease component
674	682	COG0311	H	Pyridoxal 5'-phosphate synthase subunit PdxT (glutamine amidotransferase)
1504	1544	COG0314	H	Molybdopterin synthase catalytic subunit MoaE
1667	1692	COG0315	H	Molybdenum cofactor biosynthesis enzyme MoaC
1682	3412	COG0316	O	Fe-S cluster assembly iron-binding protein IscA
1894	12296	COG0318	I	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)
2134	2761	COG0322	L	Excinuclease UvrABC, nuclease subunit
1833	1998	COG0323	L	DNA mismatch repair ATPase MutL
1585	1753	COG0327	H	Putative GTP cyclohydrolase 1 type 2, NIF3 family
1887	2296	COG0328	L	Ribonuclease HI
2114	5113	COG0329	M E	4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase
2054	5461	COG0330	O	Regulator of protease activity HflC, stomatin/prohibitin superfamily
1714	2917	COG0334	E	Glutamate dehydrogenase/leucine dehydrogenase
2119	2294	COG0340	H	Biotin-protein ligase
2035	2132	COG0341	U	Preprotein translocase subunit SecF
2043	2239	COG0342	U	Preprotein translocase subunit SecD
1957	2330	COG0345	E	Pyrroline-5-carboxylate reductase
1882	9927	COG0346	Q	Glyoxalase, catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family
1589	3122	COG0347	T E	Nitrogen regulatory protein PII
2059	3018	COG0350	L	DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase)
1706	2044	COG0351	H	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
1733	2634	COG0352	H	Thiamine monophosphate synthase
2261	3108	COG0358	L	DNA primase (bacterial type)
1953	2161	COG0361	J	Translation initiation factor IF-1
1748	4824	COG0365	I	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase
1564	5887	COG0366	G	Glycosidase/amylase (phosphorylase)
1498	3061	COG0367	E	Asparagine synthetase B (glutamine-hydrolyzing)
1207	1235	COG0368	H	Cobalamin synthase CobS (adenosylcobinamide-GDP ribazoletransferase)
714	963	COG0371	C	Glycerol dehydrogenase or related enzyme, iron-containing ADH family
1863	3040	COG0372	C	Citrate synthase
1583	1672	COG0373	H	Glutamyl-tRNA reductase
1386	1601	COG0377	C	NADH:ubiquinone oxidoreductase 20 kD subunit (chain B) or related Fe-S oxidoreductase
1130	1548	COG0378	O	Hydrogenase/urease maturation factor HypB, Ni2+-binding GTPase
1580	1617	COG0379	H	Quinolinate synthase
1722	2900	COG0382	H	4-hydroxybenzoate polyprenyltransferase
1131	1548	COG0384	R	Predicted epimerase YddE/YHI9, PhzF superfamily
2044	6364	COG0388	V	Nitrilase/amidase YafV/Nit2, hydrolyzes deaminated glutathione
1902	3793	COG0389	L	Nucleotidyltransferase/DNA polymerase DinP involved in DNA repair
1019	1176	COG0391	G H	Archaeal 2-phospho-L-lactate transferase/Bacterial gluconeogenesis factor, CofD/UPF0052 family
1431	2581	COG0392	M	Predicted membrane flippase AglD2/YbhN, UPF0104 family
1924	4037	COG0394	T	Protein-tyrosine-phosphatase
1276	9877	COG0395	G	ABC-type glycerol-3-phosphate transport system, permease component
1743	1811	COG0396	O	Fe-S cluster assembly ATPase SufC
931	982	COG0397	O	Protein adenylyltransferase (AMPylase) SelO/YdiU (selenoprotein O)
1133	1881	COG0398	S	Uncharacterized membrane protein YdjX, related to fungal oxalate transporter, TVP38/TMEM64 family
1799	4863	COG0399	M	dTDP-4-amino-4,6-dideoxygalactose transaminase
1625	4477	COG0402	F R	Cytosine/adenosine deaminase or related metal-dependent hydrolase
1709	3251	COG0404	E	Glycine cleavage system protein T (aminomethyltransferase)
1319	2522	COG0405	E	Gamma-glutamyltranspeptidase
1836	5442	COG0406	G	Broad specificity phosphatase PhoE
1302	5352	COG0410	E	ABC-type branched-chain amino acid transport system, ATPase component LivF
1218	4730	COG0411	E	ABC-type branched-chain amino acid transport system, ATPase component LivG
1357	1925	COG0415	L	Deoxyribodipyrimidine photolyase
536	728	COG0417	L	DNA polymerase B elongation subunit
1474	2198	COG0419	L	DNA repair exonuclease SbcCD ATPase subunit
1563	2139	COG0420	L	DNA repair exonuclease SbcCD nuclease subunit
974	977	COG0423	J	Glycyl-tRNA synthetase, class II
1293	1882	COG0428	P	Zinc transporter ZupT
1252	1646	COG0432	H	Thiamin phosphate synthase YjbQ, UPF0047 family
1401	2413	COG0433	L	Crenarchaeal DNA import helicase CedB/HerA or a related bacterial ATPase
651	790	COG0435	C	Glutathionyl-hydroquinone reductase
2171	8567	COG0436	E	Aspartate/methionine/tyrosine aminotransferase
2199	29426	COG0438	M	Lipopolysaccharide 1,6-galactosyltransferase, GT1 family
1791	1972	COG0440	E	Acetolactate synthase, small subunit
2259	2538	COG0441	J	Threonyl-tRNA synthetase
2257	2364	COG0442	J	Prolyl-tRNA synthetase
2222	4618	COG0443	O	Molecular chaperone DnaK (HSP70)
1474	8271	COG0444	E P	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
1458	2888	COG0446	H	Coenzyme A disulfide reductase or related oxidoreductase, NAD(P)H-disulfide oxidoreductase family
837	875	COG0447	H	1,4-Dihydroxy-2-naphthoyl-CoA synthase
2139	2644	COG0449	M	Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains
2137	16242	COG0451	M	Nucleoside-diphosphate-sugar epimerase
2083	2328	COG0452	H	Phosphopantothenoylcysteine synthetase/decarboxylase CoaBC
1063	1673	COG0455	D N	MinD-like ATPase FlhG/YlxH, activator of the FlhF-type GTPase
2165	15065	COG0456	J	Ribosomal protein S18 acetylase RimI and related acetyltransferases
1647	9966	COG0457	R	Tetratricopeptide (TPR) repeat
2043	2721	COG0458	E F	Carbamoylphosphate synthase large subunit
2261	3248	COG0459	O	Chaperonin GroEL (HSP60 family)
1996	2377	COG0460	E	Homoserine dehydrogenase
2142	2314	COG0461	F	Orotate phosphoribosyltransferase
2207	2705	COG0462	E F	Phosphoribosylpyrophosphate synthetase
2198	18116	COG0463	M	Glycosyltransferase involved in cell wall bisynthesis
1276	2789	COG0464	D T M	AAA+-type ATPase, SpoVK/Ycf46/Vps4 family
547	1491	COG0467	T	RecA-superfamily ATPase, KaiC/GvpD/RAD55 family
2237	2555	COG0468	L	RecA/RadA recombinase
2068	2542	COG0469	G	Pyruvate kinase
1118	1319	COG0470	L	DNA polymerase III, delta prime subunit
1266	2754	COG0471	G	Di- and tricarboxylate antiporter
1959	3178	COG0473	C E	Isocitrate/isopropylmalate dehydrogenase
1832	2779	COG0476	H	Molybdopterin or thiamine biosynthesis adenylyltransferase
247	254	COG0478	T	RIO-like serine/threonine protein kinase fused to N-terminal HTH domain
1781	2233	COG0479	C	Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit
2282	3773	COG0480	J	Translation elongation factor EF-G, a GTPase
1844	3778	COG0483	G	Archaeal fructose-1,6-bisphosphatase or related enzyme, inositol monophosphatase family
2231	6149	COG0484	O	DnaJ molecular chaperone, contains DnaJ and DnaJ_C domains
2112	5338	COG0489	D	Fe-S cluster carrier ATPase, Mrp/ApbC/NBP35 family
2132	11436	COG0491	R	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II
2240	5658	COG0492	O	Thioredoxin reductase
2046	6136	COG0494	V	8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family
2263	2340	COG0495	J	Leucyl-tRNA synthetase
1523	1736	COG0496	L	Broad specificity polyphosphatase and 5'/3'-nucleotidase SurE
2017	2877	COG0498	E	Threonine synthase
1600	1743	COG0499	H	S-adenosylhomocysteine hydrolase
794	1090	COG0500	Q R	SAM-dependent methyltransferase SmtA (CmoB moved to COG2228)
1766	3735	COG0501	O	Zn-dependent protease with chaperone function
1809	2780	COG0503	F	Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein
2168	2262	COG0504	F	CTP synthase (UTP-ammonia lyase)
2021	2150	COG0505	E F	Carbamoylphosphate synthase small subunit
1937	2515	COG0512	E H	Anthranilate/para-aminobenzoate synthase component II (glutamine amidotransferase)
2094	2816	COG0516	F	IMP dehydrogenase/GMP reductase
2156	3663	COG0518	F	GMP synthase, glutamine amidotransferase domain/subunit
2145	2209	COG0519	F	GMP synthase, PP-ATPase domain/subunit
